id,title,company,date,nodeOffset,description,image,icon,color,branch
12,Social Media Consultant,Self,"May 2021",200,"Over four years as a social media consultant, I managed accounts across platforms like TikTok, YouTube, Twitch, Twitter, BlueSky, Facebook, and Instagram, crafting distinct content strategies tailored to each platform’s unique voice. I forged relationships with major influencers and grew Twitter accounts to the top 1% by followers, demonstrating my ability to build a strong online presence. By creating custom tools to track metrics and analyze sentiment, I adapted swiftly to evolving media trends and navigated controversies, ensuring consistent engagement and authenticity in a fast-paced digital landscape.","assets/Lainmain.jpg","fas fa-cogs","#50dd90",
13,At the DNC,Democratic National Committee,"August 2024",-400,"Flown out to the DNC as a content creator. Had a great time!","assets/DNCM.jpeg","fas fa-cogs","#50dd90",
14,PPI Youth Speaker,Progressive Policy Institute,"February 2024",400,"Invited to speak with Labour candidates for UK Parliament by the Progressive Policy Institute and the Center for New Liberalism. I shared my expertise on youth outreach in the U.S., discussing the challenges of organizing in the modern age and proven strategies that we have implemented and how they could be translated to the UK political ecosystem.","assets/PPILabour.jpg","fas fa-cogs","#50dd90",
15,Harris/Walz Youth Council,Progress Libs,"July 2024",-50,"","assets/YouthHarris.jpg","fas fa-star","#ff3264",
16,Georgia Senate Runoff Race,Progress Libs,"December 2022",100,"","assets/Georgia.jpg","fas fa-star","#ff3264",
17,Wisconsin Supreme Court Race,Progress Libs,"March 2023",-20,"","assets/Wisconsin.png","fas fa-star","#ff3264",
18,This Website!,Self,"April 2025",-300,"idk, was a fun project, was always very into this sort of thing when I was younger, the clicky clacky computer stuff, but I eventually put my efforts elsewhere (as you will see). I wanted to re-engage this past passion of mine and make something useful at the same time- here it is!","assets/sickasshamster.jpg","fas fa-user-alt","#ff7a7a",
19,Jazz Pianist,Self,"September 2020",-70,"Luv piano, nuff said \n \n lead piano in jazz band and a couple of cover bands (including a weezer one! heehee), still something I practice a lot but not in the context of a band (if you have one, hit me up tho)","assets/Piano.png","fas fa-user-alt","#ff7a7a",
20,ELEVATE Fellowship,Human Rights Campaign,"February 2023",130,"Selected for HRC’s ELEVATE Fellowship, a leadership development program for queer women of color in politics. Over four months, I trained intensively in policy writing, lobbying, and coalition building.","assets/HRC.png","fas fa-cogs","#50dd90",
21,The Progressive Beacon,Progress Libs,"April 2024",-280,"Founder and Editor of The Progressive Beacon, a biweekly magazine highlighting critical political issues during the 2024 election, amplifying diverse and emerging voices.","assets/PBeacon.png","fas fa-star","#ff3264",
